WEATHER CENTER LOCATION,LATITUDE,LONGITUDE,DATE,SNWD,TMAX,TMIN
"ANDOVER 2, ME US",44.653,-70.7941,1/1/2016,8,33,22
"ANDOVER 2, ME US",44.653,-70.7941,1/2/2016,9,33,22
"ANDOVER 2, ME US",44.653,-70.7941,1/3/2016,9,29,23
"ANDOVER 2, ME US",44.653,-70.7941,1/4/2016,9,32,8
"ANDOVER 2, ME US",44.653,-70.7941,1/5/2016,9,14,-3
"ANDOVER 2, ME US",44.653,-70.7941,1/6/2016,9,15,-3
"ANDOVER 2, ME US",44.653,-70.7941,1/7/2016,9,33,9
"ANDOVER 2, ME US",44.653,-70.7941,1/8/2016,9,32,6
"ANDOVER 2, ME US",44.653,-70.7941,1/9/2016,9,33,5
"ANDOVER 2, ME US",44.653,-70.7941,1/10/2016,8,30,25
"ANDOVER 2, ME US",44.653,-70.7941,1/11/2016,6,42,30
"ANDOVER 2, ME US",44.653,-70.7941,1/12/2016,6,33,2
"ANDOVER 2, ME US",44.653,-70.7941,1/13/2016,9,21,2
"ANDOVER 2, ME US",44.653,-70.7941,1/14/2016,9,20,4
"ANDOVER 2, ME US",44.653,-70.7941,1/15/2016,9,21,1
"ANDOVER 2, ME US",44.653,-70.7941,1/16/2016,9,24,6
"ANDOVER 2, ME US",44.653,-70.7941,1/17/2016,13,30,22
"ANDOVER 2, ME US",44.653,-70.7941,1/18/2016,12,27,17
"ANDOVER 2, ME US",44.653,-70.7941,1/19/2016,15,22,3
"ANDOVER 2, ME US",44.653,-70.7941,1/20/2016,15,16,2
"ANDOVER 2, ME US",44.653,-70.7941,1/21/2016,15,19,10
"ANDOVER 2, ME US",44.653,-70.7941,1/22/2016,15,15,10
"ANDOVER 2, ME US",44.653,-70.7941,1/23/2016,13,21,4
"ANDOVER 2, ME US",44.653,-70.7941,1/24/2016,10,21,-3
"ANDOVER 2, ME US",44.653,-70.7941,1/25/2016,4,29,-3
"ANDOVER 2, ME US",44.653,-70.7941,1/26/2016,2,30,15
"ANDOVER 2, ME US",44.653,-70.7941,1/27/2016,0,44,15
"ANDOVER 2, ME US",44.653,-70.7941,1/28/2016,0,36,8
"ANDOVER 2, ME US",44.653,-70.7941,1/29/2016,0,30,8
"ANDOVER 2, ME US",44.653,-70.7941,1/30/2016,1,32,18
"ANDOVER 2, ME US",44.653,-70.7941,1/31/2016,1,31,21
"ANDOVER 2, ME US",44.653,-70.7941,2/1/2016,0,37,21
"ANDOVER 2, ME US",44.653,-70.7941,2/2/2016,0,52,25
"ANDOVER 2, ME US",44.653,-70.7941,2/3/2016,0,34,18
"ANDOVER 2, ME US",44.653,-70.7941,2/4/2016,1,34,23
"ANDOVER 2, ME US",44.653,-70.7941,2/5/2016,1,44,28
"ANDOVER 2, ME US",44.653,-70.7941,2/6/2016,1,29,10
"ANDOVER 2, ME US",44.653,-70.7941,2/7/2016,0,33,13
"ANDOVER 2, ME US",44.653,-70.7941,2/8/2016,0,33,10
"ANDOVER 2, ME US",44.653,-70.7941,2/9/2016,3,20,9
"ANDOVER 2, ME US",44.653,-70.7941,2/10/2016,4,24,6
"ANDOVER 2, ME US",44.653,-70.7941,2/11/2016,4,29,9
"ANDOVER 2, ME US",44.653,-70.7941,2/12/2016,4,29,-5
"ANDOVER 2, ME US",44.653,-70.7941,2/13/2016,4,15,-6
"ANDOVER 2, ME US",44.653,-70.7941,2/14/2016,4,13,-18
"ANDOVER 2, ME US",44.653,-70.7941,2/15/2016,4,-1,-18
"ANDOVER 2, ME US",44.653,-70.7941,2/16/2016,7,18,-8
"ANDOVER 2, ME US",44.653,-70.7941,2/17/2016,4,46,18
"ANDOVER 2, ME US",44.653,-70.7941,2/18/2016,4,31,14
"ANDOVER 2, ME US",44.653,-70.7941,2/19/2016,4,22,2
"ANDOVER 2, ME US",44.653,-70.7941,2/20/2016,8,34,2
"ANDOVER 2, ME US",44.653,-70.7941,2/21/2016,7,34,29
"ANDOVER 2, ME US",44.653,-70.7941,2/22/2016,7,37,13
"ANDOVER 2, ME US",44.653,-70.7941,2/23/2016,7,24,-10
"ANDOVER 2, ME US",44.653,-70.7941,2/24/2016,7,25,-3
"ANDOVER 2, ME US",44.653,-70.7941,2/25/2016,5,33,23
"ANDOVER 2, ME US",44.653,-70.7941,2/26/2016,6,41,20
"ANDOVER 2, ME US",44.653,-70.7941,2/27/2016,6,41,7
"ANDOVER 2, ME US",44.653,-70.7941,2/28/2016,6,33,10
"ANDOVER 2, ME US",44.653,-70.7941,2/29/2016,5,41,20
"ANDOVER 2, ME US",44.653,-70.7941,3/1/2016,5,40,11
"ANDOVER 2, ME US",44.653,-70.7941,3/2/2016,9,26,11
"ANDOVER 2, ME US",44.653,-70.7941,3/3/2016,8,37,1
"ANDOVER 2, ME US",44.653,-70.7941,3/4/2016,7,15,-9
"ANDOVER 2, ME US",44.653,-70.7941,3/5/2016,6,22,-8
"ANDOVER 2, ME US",44.653,-70.7941,3/6/2016,6,29,7
"ANDOVER 2, ME US",44.653,-70.7941,3/7/2016,6,34,12
"ANDOVER 2, ME US",44.653,-70.7941,3/8/2016,5,35,14
"ANDOVER 2, ME US",44.653,-70.7941,3/9/2016,5,46,25
"ANDOVER 2, ME US",44.653,-70.7941,3/10/2016,4,60,30
"ANDOVER 2, ME US",44.653,-70.7941,3/11/2016,2,50,33
"ANDOVER 2, ME US",44.653,-70.7941,3/12/2016,2,41,24
"ANDOVER 2, ME US",44.653,-70.7941,3/13/2016,0,55,28
"ANDOVER 2, ME US",44.653,-70.7941,3/14/2016,0,47,22
"ANDOVER 2, ME US",44.653,-70.7941,3/15/2016,0,36,23
"ANDOVER 2, ME US",44.653,-70.7941,3/16/2016,0,36,20
"ANDOVER 2, ME US",44.653,-70.7941,3/17/2016,0,53,30
"ANDOVER 2, ME US",44.653,-70.7941,3/18/2016,0,52,30
"ANDOVER 2, ME US",44.653,-70.7941,3/19/2016,0,36,16
"ANDOVER 2, ME US",44.653,-70.7941,3/20/2016,0,29,14
"ANDOVER 2, ME US",44.653,-70.7941,3/21/2016,0,37,14
"ANDOVER 2, ME US",44.653,-70.7941,3/22/2016,0,37,19
"ANDOVER 2, ME US",44.653,-70.7941,3/23/2016,0,37,19
"ANDOVER 2, ME US",44.653,-70.7941,3/24/2016,0,40,22
"ANDOVER 2, ME US",44.653,-70.7941,3/25/2016,0,40,19
"ANDOVER 2, ME US",44.653,-70.7941,3/26/2016,0,38,20
"ANDOVER 2, ME US",44.653,-70.7941,3/27/2016,0,48,23
"ANDOVER 2, ME US",44.653,-70.7941,3/28/2016,0,41,26
"ANDOVER 2, ME US",44.653,-70.7941,3/29/2016,0,38,29
"ANDOVER 2, ME US",44.653,-70.7941,3/30/2016,0,36,22
"ANDOVER 2, ME US",44.653,-70.7941,3/31/2016,0,52,23
"ANDOVER 2, ME US",44.653,-70.7941,4/1/2016,0,52,23
"ANDOVER 2, ME US",44.653,-70.7941,4/2/2016,0,66,33
"ANDOVER 2, ME US",44.653,-70.7941,4/3/2016,0,45,19
"ANDOVER 2, ME US",44.653,-70.7941,4/4/2016,0,28,8
"ANDOVER 2, ME US",44.653,-70.7941,4/5/2016,0,27,9
"ANDOVER 2, ME US",44.653,-70.7941,4/6/2016,0,28,11
"ANDOVER 2, ME US",44.653,-70.7941,4/7/2016,1,38,10
"ANDOVER 2, ME US",44.653,-70.7941,4/8/2016,0,48,28
"ANDOVER 2, ME US",44.653,-70.7941,4/9/2016,0,46,23
"ANDOVER 2, ME US",44.653,-70.7941,4/10/2016,0,38,17
"ANDOVER 2, ME US",44.653,-70.7941,4/11/2016,0,36,18
"ANDOVER 2, ME US",44.653,-70.7941,4/12/2016,1,34,25
"ANDOVER 2, ME US",44.653,-70.7941,4/13/2016,0,43,28
"ANDOVER 2, ME US",44.653,-70.7941,4/14/2016,0,46,25
"ANDOVER 2, ME US",44.653,-70.7941,4/15/2016,0,53,24
"ANDOVER 2, ME US",44.653,-70.7941,4/16/2016,0,55,22
"ANDOVER 2, ME US",44.653,-70.7941,4/17/2016,0,62,22
"ANDOVER 2, ME US",44.653,-70.7941,4/18/2016,0,75,27
"ANDOVER 2, ME US",44.653,-70.7941,4/19/2016,0,58,34
"ANDOVER 2, ME US",44.653,-70.7941,4/20/2016,0,54,29
"ANDOVER 2, ME US",44.653,-70.7941,4/21/2016,0,56,19
"ANDOVER 2, ME US",44.653,-70.7941,4/22/2016,0,73,30
"ANDOVER 2, ME US",44.653,-70.7941,4/23/2016,0,71,37
"ANDOVER 2, ME US",44.653,-70.7941,4/24/2016,0,72,27
"ANDOVER 2, ME US",44.653,-70.7941,4/25/2016,0,50,21
"ANDOVER 2, ME US",44.653,-70.7941,4/26/2016,0,52,26
"ANDOVER 2, ME US",44.653,-70.7941,4/27/2016,0,38,24
"ANDOVER 2, ME US",44.653,-70.7941,4/28/2016,0,48,26
"ANDOVER 2, ME US",44.653,-70.7941,4/29/2016,0,45,19
"ANDOVER 2, ME US",44.653,-70.7941,4/30/2016,0,56,22
"ANDOVER 2, ME US",44.653,-70.7941,5/1/2016,0,64,27
"ANDOVER 2, ME US",44.653,-70.7941,5/2/2016,0,55,31
"ANDOVER 2, ME US",44.653,-70.7941,5/3/2016,0,40,34
"ANDOVER 2, ME US",44.653,-70.7941,5/4/2016,0,51,35
"ANDOVER 2, ME US",44.653,-70.7941,5/5/2016,0,47,40
"ANDOVER 2, ME US",44.653,-70.7941,5/6/2016,0,51,37
"ANDOVER 2, ME US",44.653,-70.7941,5/7/2016,0,70,41
"ANDOVER 2, ME US",44.653,-70.7941,5/8/2016,0,60,42
"ANDOVER 2, ME US",44.653,-70.7941,5/9/2016,0,52,31
"ANDOVER 2, ME US",44.653,-70.7941,5/10/2016,0,46,32
"ANDOVER 2, ME US",44.653,-70.7941,5/11/2016,0,66,34
"ANDOVER 2, ME US",44.653,-70.7941,5/12/2016,0,65,34
"ANDOVER 2, ME US",44.653,-70.7941,5/13/2016,0,81,40
"ANDOVER 2, ME US",44.653,-70.7941,5/14/2016,0,70,48
"ANDOVER 2, ME US",44.653,-70.7941,5/15/2016,0,78,35
"ANDOVER 2, ME US",44.653,-70.7941,5/16/2016,0,56,32
"ANDOVER 2, ME US",44.653,-70.7941,5/17/2016,0,42,32
"ANDOVER 2, ME US",44.653,-70.7941,5/18/2016,0,61,37
"ANDOVER 2, ME US",44.653,-70.7941,5/19/2016,0,66,42
"ANDOVER 2, ME US",44.653,-70.7941,5/20/2016,0,64,40
"ANDOVER 2, ME US",44.653,-70.7941,5/21/2016,0,73,36
"ANDOVER 2, ME US",44.653,-70.7941,5/22/2016,0,77,42
"ANDOVER 2, ME US",44.653,-70.7941,5/23/2016,0,72,41
"ANDOVER 2, ME US",44.653,-70.7941,5/24/2016,0,80,43
"ANDOVER 2, ME US",44.653,-70.7941,5/25/2016,0,73,51
"ANDOVER 2, ME US",44.653,-70.7941,5/26/2016,0,84,50
"ANDOVER 2, ME US",44.653,-70.7941,5/27/2016,0,84,50
"ANDOVER 2, ME US",44.653,-70.7941,5/28/2016,0,78,53
"ANDOVER 2, ME US",44.653,-70.7941,5/29/2016,0,86,56
"ANDOVER 2, ME US",44.653,-70.7941,5/30/2016,0,65,47
"ANDOVER 2, ME US",44.653,-70.7941,5/31/2016,0,80,49
"ANDOVER 2, ME US",44.653,-70.7941,6/1/2016,0,79,53
"ANDOVER 2, ME US",44.653,-70.7941,6/2/2016,0,72,49
"ANDOVER 2, ME US",44.653,-70.7941,6/3/2016,0,67,50
"ANDOVER 2, ME US",44.653,-70.7941,6/4/2016,0,69,52
"ANDOVER 2, ME US",44.653,-70.7941,6/5/2016,0,78,47
"ANDOVER 2, ME US",44.653,-70.7941,6/6/2016,0,60,49
"ANDOVER 2, ME US",44.653,-70.7941,6/7/2016,0,74,46
"ANDOVER 2, ME US",44.653,-70.7941,6/8/2016,0,71,48
"ANDOVER 2, ME US",44.653,-70.7941,6/9/2016,0,62,42
"ANDOVER 2, ME US",44.653,-70.7941,6/10/2016,0,53,43
"ANDOVER 2, ME US",44.653,-70.7941,6/11/2016,0,55,42
"ANDOVER 2, ME US",44.653,-70.7941,6/12/2016,0,60,47
"ANDOVER 2, ME US",44.653,-70.7941,6/13/2016,0,64,44
"ANDOVER 2, ME US",44.653,-70.7941,6/14/2016,0,60,49
"ANDOVER 2, ME US",44.653,-70.7941,6/15/2016,0,69,49
"ANDOVER 2, ME US",44.653,-70.7941,6/16/2016,0,74,45
"ANDOVER 2, ME US",44.653,-70.7941,6/17/2016,0,76,38
"ANDOVER 2, ME US",44.653,-70.7941,6/18/2016,0,77,40
"ANDOVER 2, ME US",44.653,-70.7941,6/19/2016,0,81,43
"ANDOVER 2, ME US",44.653,-70.7941,6/20/2016,0,84,44
"ANDOVER 2, ME US",44.653,-70.7941,6/21/2016,0,86,60
"ANDOVER 2, ME US",44.653,-70.7941,6/22/2016,0,76,42
"ANDOVER 2, ME US",44.653,-70.7941,6/23/2016,0,65,45
"ANDOVER 2, ME US",44.653,-70.7941,6/24/2016,0,70,43
"ANDOVER 2, ME US",44.653,-70.7941,6/25/2016,0,75,42
"ANDOVER 2, ME US",44.653,-70.7941,6/26/2016,0,82,43
"ANDOVER 2, ME US",44.653,-70.7941,6/27/2016,0,89,51
"ANDOVER 2, ME US",44.653,-70.7941,6/28/2016,0,83,54
"ANDOVER 2, ME US",44.653,-70.7941,6/29/2016,0,81,55
"ANDOVER 2, ME US",44.653,-70.7941,6/30/2016,0,77,54
"ANDOVER 2, ME US",44.653,-70.7941,7/1/2016,0,78,49
"ANDOVER 2, ME US",44.653,-70.7941,7/2/2016,0,80,50
"ANDOVER 2, ME US",44.653,-70.7941,7/3/2016,0,69,49
"ANDOVER 2, ME US",44.653,-70.7941,7/4/2016,0,78,52
"ANDOVER 2, ME US",44.653,-70.7941,7/5/2016,0,81,49
"ANDOVER 2, ME US",44.653,-70.7941,7/6/2016,0,84,49
"ANDOVER 2, ME US",44.653,-70.7941,7/7/2016,0,87,56
"ANDOVER 2, ME US",44.653,-70.7941,7/8/2016,0,65,57
"ANDOVER 2, ME US",44.653,-70.7941,7/9/2016,0,68,54
"ANDOVER 2, ME US",44.653,-70.7941,7/10/2016,0,57,52
"ANDOVER 2, ME US",44.653,-70.7941,7/11/2016,0,59,52
"ANDOVER 2, ME US",44.653,-70.7941,7/12/2016,0,76,52
"ANDOVER 2, ME US",44.653,-70.7941,7/13/2016,0,81,54
"ANDOVER 2, ME US",44.653,-70.7941,7/14/2016,0,86,61
"ANDOVER 2, ME US",44.653,-70.7941,7/15/2016,0,83,59
"ANDOVER 2, ME US",44.653,-70.7941,7/16/2016,0,83,58
"ANDOVER 2, ME US",44.653,-70.7941,7/17/2016,0,77,62
"ANDOVER 2, ME US",44.653,-70.7941,7/18/2016,0,82,61
"ANDOVER 2, ME US",44.653,-70.7941,7/19/2016,0,80,55
"ANDOVER 2, ME US",44.653,-70.7941,7/20/2016,0,69,50
"ANDOVER 2, ME US",44.653,-70.7941,7/21/2016,0,80,52
"ANDOVER 2, ME US",44.653,-70.7941,7/22/2016,0,80,52
"ANDOVER 2, ME US",44.653,-70.7941,7/23/2016,0,86,58
"ANDOVER 2, ME US",44.653,-70.7941,7/24/2016,0,80,60
"ANDOVER 2, ME US",44.653,-70.7941,7/25/2016,0,78,56
"ANDOVER 2, ME US",44.653,-70.7941,7/26/2016,0,81,53
"ANDOVER 2, ME US",44.653,-70.7941,7/27/2016,0,82,60
"ANDOVER 2, ME US",44.653,-70.7941,7/28/2016,0,85,58
"ANDOVER 2, ME US",44.653,-70.7941,7/29/2016,0,85,59
"ANDOVER 2, ME US",44.653,-70.7941,7/30/2016,0,85,54
"ANDOVER 2, ME US",44.653,-70.7941,7/31/2016,0,80,49
"ANDOVER 2, ME US",44.653,-70.7941,8/1/2016,0,80,52
"ANDOVER 2, ME US",44.653,-70.7941,8/2/2016,0,78,50
"ANDOVER 2, ME US",44.653,-70.7941,8/3/2016,0,80,51
"ANDOVER 2, ME US",44.653,-70.7941,8/4/2016,0,83,52
"ANDOVER 2, ME US",44.653,-70.7941,8/5/2016,0,84,53
"ANDOVER 2, ME US",44.653,-70.7941,8/6/2016,0,88,54
"ANDOVER 2, ME US",44.653,-70.7941,8/7/2016,0,88,53
"ANDOVER 2, ME US",44.653,-70.7941,8/8/2016,0,85,52
"ANDOVER 2, ME US",44.653,-70.7941,8/9/2016,0,78,56
"ANDOVER 2, ME US",44.653,-70.7941,8/10/2016,0,78,46
"ANDOVER 2, ME US",44.653,-70.7941,8/11/2016,0,86,46
"ANDOVER 2, ME US",44.653,-70.7941,8/12/2016,0,94,58
"ANDOVER 2, ME US",44.653,-70.7941,8/13/2016,0,80,58
"ANDOVER 2, ME US",44.653,-70.7941,8/14/2016,0,60,57
"ANDOVER 2, ME US",44.653,-70.7941,8/15/2016,0,82,60
"ANDOVER 2, ME US",44.653,-70.7941,8/16/2016,0,77,50
"ANDOVER 2, ME US",44.653,-70.7941,8/17/2016,0,74,51
"ANDOVER 2, ME US",44.653,-70.7941,8/18/2016,0,75,56
"ANDOVER 2, ME US",44.653,-70.7941,8/19/2016,0,80,56
"ANDOVER 2, ME US",44.653,-70.7941,8/20/2016,0,80,53
"ANDOVER 2, ME US",44.653,-70.7941,8/21/2016,0,77,47
"ANDOVER 2, ME US",44.653,-70.7941,8/22/2016,0,80,60
"ANDOVER 2, ME US",44.653,-70.7941,8/23/2016,0,71,46
"ANDOVER 2, ME US",44.653,-70.7941,8/24/2016,0,74,49
"ANDOVER 2, ME US",44.653,-70.7941,8/25/2016,0,81,50
"ANDOVER 2, ME US",44.653,-70.7941,8/26/2016,0,77,54
"ANDOVER 2, ME US",44.653,-70.7941,8/27/2016,0,81,56
"ANDOVER 2, ME US",44.653,-70.7941,8/28/2016,0,78,55
"ANDOVER 2, ME US",44.653,-70.7941,8/29/2016,0,82,52
"ANDOVER 2, ME US",44.653,-70.7941,8/30/2016,0,83,50
"ANDOVER 2, ME US",44.653,-70.7941,8/31/2016,0,75,50
"ANDOVER 2, ME US",44.653,-70.7941,9/1/2016,0,73,55
"ANDOVER 2, ME US",44.653,-70.7941,9/2/2016,0,74,51
"ANDOVER 2, ME US",44.653,-70.7941,9/3/2016,0,70,46
"ANDOVER 2, ME US",44.653,-70.7941,9/4/2016,0,71,44
"ANDOVER 2, ME US",44.653,-70.7941,9/5/2016,0,75,45
"ANDOVER 2, ME US",44.653,-70.7941,9/6/2016,0,76,46
"ANDOVER 2, ME US",44.653,-70.7941,9/7/2016,0,77,55
"ANDOVER 2, ME US",44.653,-70.7941,9/8/2016,0,81,60
"ANDOVER 2, ME US",44.653,-70.7941,9/9/2016,0,77,61
"ANDOVER 2, ME US",44.653,-70.7941,9/10/2016,0,84,53
"ANDOVER 2, ME US",44.653,-70.7941,9/11/2016,0,78,55
"ANDOVER 2, ME US",44.653,-70.7941,9/12/2016,0,68,46
"ANDOVER 2, ME US",44.653,-70.7941,9/13/2016,0,71,40
"ANDOVER 2, ME US",44.653,-70.7941,9/14/2016,0,77,40
"ANDOVER 2, ME US",44.653,-70.7941,9/15/2016,0,68,46
"ANDOVER 2, ME US",44.653,-70.7941,9/16/2016,0,64,32
"ANDOVER 2, ME US",44.653,-70.7941,9/17/2016,0,73,33
"ANDOVER 2, ME US",44.653,-70.7941,9/18/2016,0,74,42
"ANDOVER 2, ME US",44.653,-70.7941,9/19/2016,0,78,58
"ANDOVER 2, ME US",44.653,-70.7941,9/20/2016,0,73,58
"ANDOVER 2, ME US",44.653,-70.7941,9/21/2016,0,81,54
"ANDOVER 2, ME US",44.653,-70.7941,9/22/2016,0,78,48
"ANDOVER 2, ME US",44.653,-70.7941,9/23/2016,0,79,49
"ANDOVER 2, ME US",44.653,-70.7941,9/24/2016,0,62,34
"ANDOVER 2, ME US",44.653,-70.7941,9/25/2016,0,60,37
"ANDOVER 2, ME US",44.653,-70.7941,9/26/2016,0,56,27
"ANDOVER 2, ME US",44.653,-70.7941,9/27/2016,0,60,28
"ANDOVER 2, ME US",44.653,-70.7941,9/28/2016,0,66,45
"ANDOVER 2, ME US",44.653,-70.7941,9/29/2016,0,58,36
"ANDOVER 2, ME US",44.653,-70.7941,9/30/2016,0,61,31
"ANDOVER 2, ME US",44.653,-70.7941,10/1/2016,0,60,32
"ANDOVER 2, ME US",44.653,-70.7941,10/2/2016,0,58,41
"ANDOVER 2, ME US",44.653,-70.7941,10/3/2016,0,53,46
"ANDOVER 2, ME US",44.653,-70.7941,10/4/2016,0,64,49
"ANDOVER 2, ME US",44.653,-70.7941,10/5/2016,0,60,36
"ANDOVER 2, ME US",44.653,-70.7941,10/6/2016,0,64,35
"ANDOVER 2, ME US",44.653,-70.7941,10/7/2016,0,72,35
"ANDOVER 2, ME US",44.653,-70.7941,10/8/2016,0,74,42
"ANDOVER 2, ME US",44.653,-70.7941,10/9/2016,0,64,40
"ANDOVER 2, ME US",44.653,-70.7941,10/10/2016,0,58,41
"ANDOVER 2, ME US",44.653,-70.7941,10/11/2016,0,50,38
"ANDOVER 2, ME US",44.653,-70.7941,10/12/2016,0,66,33
"ANDOVER 2, ME US",44.653,-70.7941,10/13/2016,0,66,33
"ANDOVER 2, ME US",44.653,-70.7941,10/14/2016,0,61,36
"ANDOVER 2, ME US",44.653,-70.7941,10/15/2016,0,50,23
"ANDOVER 2, ME US",44.653,-70.7941,10/16/2016,0,52,23
"ANDOVER 2, ME US",44.653,-70.7941,10/17/2016,0,61,25
"ANDOVER 2, ME US",44.653,-70.7941,10/18/2016,0,66,45
"ANDOVER 2, ME US",44.653,-70.7941,10/19/2016,0,50,46
"ANDOVER 2, ME US",44.653,-70.7941,10/20/2016,0,66,38
"ANDOVER 2, ME US",44.653,-70.7941,10/21/2016,0,56,37
"ANDOVER 2, ME US",44.653,-70.7941,10/22/2016,0,59,48
"ANDOVER 2, ME US",44.653,-70.7941,10/23/2016,0,59,32
"ANDOVER 2, ME US",44.653,-70.7941,10/24/2016,0,41,34
"ANDOVER 2, ME US",44.653,-70.7941,10/25/2016,0,44,33
"ANDOVER 2, ME US",44.653,-70.7941,10/26/2016,0,37,29
"ANDOVER 2, ME US",44.653,-70.7941,10/27/2016,0,38,28
"ANDOVER 2, ME US",44.653,-70.7941,10/28/2016,0,41,29
"ANDOVER 2, ME US",44.653,-70.7941,10/29/2016,0,38,34
"ANDOVER 2, ME US",44.653,-70.7941,10/30/2016,0,44,35
"ANDOVER 2, ME US",44.653,-70.7941,10/31/2016,0,45,34
"ANDOVER 2, ME US",44.653,-70.7941,11/1/2016,0,45,21
"ANDOVER 2, ME US",44.653,-70.7941,11/2/2016,0,43,20
"ANDOVER 2, ME US",44.653,-70.7941,11/3/2016,0,60,39
"ANDOVER 2, ME US",44.653,-70.7941,11/4/2016,0,46,39
"ANDOVER 2, ME US",44.653,-70.7941,11/5/2016,0,40,28
"ANDOVER 2, ME US",44.653,-70.7941,11/6/2016,0,42,28
"ANDOVER 2, ME US",44.653,-70.7941,11/7/2016,0,43,23
"ANDOVER 2, ME US",44.653,-70.7941,11/8/2016,0,46,23
"ANDOVER 2, ME US",44.653,-70.7941,11/9/2016,0,61,31
"ANDOVER 2, ME US",44.653,-70.7941,11/10/2016,0,52,29
"ANDOVER 2, ME US",44.653,-70.7941,11/11/2016,0,47,28
"ANDOVER 2, ME US",44.653,-70.7941,11/12/2016,0,47,25
"ANDOVER 2, ME US",44.653,-70.7941,11/13/2016,0,38,27
"ANDOVER 2, ME US",44.653,-70.7941,11/14/2016,0,50,29
"ANDOVER 2, ME US",44.653,-70.7941,11/15/2016,0,57,29
"ANDOVER 2, ME US",44.653,-70.7941,11/16/2016,0,51,28
"ANDOVER 2, ME US",44.653,-70.7941,11/17/2016,0,53,43
"ANDOVER 2, ME US",44.653,-70.7941,11/18/2016,0,49,37
"ANDOVER 2, ME US",44.653,-70.7941,11/19/2016,0,56,26
"ANDOVER 2, ME US",44.653,-70.7941,11/20/2016,0,54,26
"ANDOVER 2, ME US",44.653,-70.7941,11/21/2016,1,43,27
"ANDOVER 2, ME US",44.653,-70.7941,11/22/2016,1,30,25
"ANDOVER 2, ME US",44.653,-70.7941,11/23/2016,0,29,26
"ANDOVER 2, ME US",44.653,-70.7941,11/24/2016,0,29,21
"ANDOVER 2, ME US",44.653,-70.7941,11/25/2016,2,30,21
"ANDOVER 2, ME US",44.653,-70.7941,11/26/2016,1,30,27
"ANDOVER 2, ME US",44.653,-70.7941,11/27/2016,0,36,29
"ANDOVER 2, ME US",44.653,-70.7941,11/28/2016,0,33,28
"ANDOVER 2, ME US",44.653,-70.7941,11/29/2016,0,32,18
"ANDOVER 2, ME US",44.653,-70.7941,11/30/2016,0,32,22
"ANDOVER 2, ME US",44.653,-70.7941,12/1/2016,3,36,30
"ANDOVER 2, ME US",44.653,-70.7941,12/2/2016,2,40,30
"ANDOVER 2, ME US",44.653,-70.7941,12/3/2016,0,42,31
"ANDOVER 2, ME US",44.653,-70.7941,12/4/2016,1,33,26
"ANDOVER 2, ME US",44.653,-70.7941,12/5/2016,1,29,11
"ANDOVER 2, ME US",44.653,-70.7941,12/6/2016,4,29,11
"ANDOVER 2, ME US",44.653,-70.7941,12/7/2016,4,30,16
"ANDOVER 2, ME US",44.653,-70.7941,12/8/2016,5,27,20
"ANDOVER 2, ME US",44.653,-70.7941,12/9/2016,6,33,20
"ANDOVER 2, ME US",44.653,-70.7941,12/10/2016,5,24,12
"ANDOVER 2, ME US",44.653,-70.7941,12/11/2016,5,17,-3
"ANDOVER 2, ME US",44.653,-70.7941,12/12/2016,9,23,-3
"ANDOVER 2, ME US",44.653,-70.7941,12/13/2016,15,29,17
"ANDOVER 2, ME US",44.653,-70.7941,12/14/2016,15,29,13
"ANDOVER 2, ME US",44.653,-70.7941,12/15/2016,15,28,5
"ANDOVER 2, ME US",44.653,-70.7941,12/16/2016,15,19,-12
"ANDOVER 2, ME US",44.653,-70.7941,12/17/2016,15,16,-12
"ANDOVER 2, ME US",44.653,-70.7941,12/18/2016,17,24,-5
"ANDOVER 2, ME US",44.653,-70.7941,12/19/2016,15,34,-1
"ANDOVER 2, ME US",44.653,-70.7941,12/20/2016,15,12,-17
"ANDOVER 2, ME US",44.653,-70.7941,12/21/2016,15,14,-17
"ANDOVER 2, ME US",44.653,-70.7941,12/22/2016,15,34,7
"ANDOVER 2, ME US",44.653,-70.7941,12/23/2016,15,31,25
"ANDOVER 2, ME US",44.653,-70.7941,12/24/2016,14,37,19
"ANDOVER 2, ME US",44.653,-70.7941,12/25/2016,15,36,20
"ANDOVER 2, ME US",44.653,-70.7941,12/26/2016,15,30,2
"ANDOVER 2, ME US",44.653,-70.7941,12/27/2016,13,39,4
"ANDOVER 2, ME US",44.653,-70.7941,12/28/2016,13,45,4
"ANDOVER 2, ME US",44.653,-70.7941,12/29/2016,13,30,8
"ANDOVER 2, ME US",44.653,-70.7941,12/30/2016,28,28,10
"ANDOVER 2, ME US",44.653,-70.7941,12/31/2016,28,30,7
"ANDOVER 2, ME US",44.653,-70.7941,1/1/2017,29,23,13
"ANDOVER 2, ME US",44.653,-70.7941,1/2/2017,29,33,7
"ANDOVER 2, ME US",44.653,-70.7941,1/3/2017,29,33,9
"ANDOVER 2, ME US",44.653,-70.7941,1/4/2017,30,29,16
"ANDOVER 2, ME US",44.653,-70.7941,1/5/2017,29,37,18
"ANDOVER 2, ME US",44.653,-70.7941,1/6/2017,29,24,10
"ANDOVER 2, ME US",44.653,-70.7941,1/7/2017,29,23,-10
"ANDOVER 2, ME US",44.653,-70.7941,1/8/2017,29,15,-11
"ANDOVER 2, ME US",44.653,-70.7941,1/9/2017,29,12,-5
"ANDOVER 2, ME US",44.653,-70.7941,1/10/2017,29,10,-13
